Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A4010300003E83000018089,Lab Area,Concentrate - Distillate for Edibles,Concentrate,2401,,TestPassed,531.64,-1869.36,1/21/2021
1A4010300003E83000021985,Safe/Connex,CBN Isolate - 006,Hemp Extract,544.05,,TestPassed,500,-44.05,7/16/2021
1A4010300003E83000021986,Safe/Connex,CBD Isolate - 008,Hemp Extract,120,,TestPassed,20,-100,7/16/2021
1A4010300004847000224192,Packaging Area,Private Stash - PINEAPPLE - Cartridge - (1g) - H - 2041203515,Inhalable Cannabinoid Product with Non-Cannabis Additives (each),170,,TestPassed,170,0,8/3/2021
1A401030000AC48000011632,,Dream Queen / Bobsled Extracts,Extracts,295,,TestPassed,295.05,0.05,2/12/2020
1A401030000AC48000012080,Safe/Connex,"Tozmoz, Pineapple Chunk, CO2 Oil, Bulk",Extracts,213.67,,NotSubmitted,213.67,0,3/27/2020
1A401030000AC48000013070,Safe/Connex,VTA - 99 - Main,Concentrate,1877.88,,NotSubmitted,1877.88,0,7/1/2020
1A401030000AC48000013174,,VTA - 100 - Main,Concentrate,888.65,,TestPassed,888.65,0,7/13/2020
1A401030000AC48000013557,Safe/Connex,VTA - 104 - Main,Concentrate,841.24,,TestPassed,841.24,0,8/13/2020
1A401030000AC48000013740,Safe/Connex,"VTA 106, Distillate, Bulk",Extracts,1678.18,,TestPassed,1678.18,0,8/24/2020
1A401030000AC48000014109,Safe/Connex,VTA - 108 - Main,Concentrate,189.01,,TestPassed,189.01,0,9/25/2020
1A401030000AC48000014676,Safe/Connex,VTA - 112 - Main,Concentrate,449.52,,TestPassed,449.52,0,11/4/2020
1A401030000AC48000015104,,"Tozmoz, Sour Sherbert, Live Resin",Extracts,630,,TestPassed,636.94,6.94,11/30/2020
1A401030000AC48000015112,Safe/Connex,"Applegate, Bubba, Refined CO2 Oil, Bulk",Extracts,1394.47,,NotSubmitted,1402,7.53,12/1/2020
1A401030000AC48000015113,Safe/Connex,"Applegate, Mix, Refined CO2 Oil",Extracts,732.14,,TestPassed,734.3,2.16,12/1/2020
1A401030000AC48000015114,Safe/Connex,"Applegate, GSC, Refined CO2 Oil, Bulk",Extracts,991.01,,TestPassed,990.42,-0.59,12/1/2020
1A401030000AC48000015307,,"Tozmoz, Transdermal Patch Mixture",Concentrate,1108.07,,NotSubmitted,1108.07,0,12/11/2020
1A401030000AC48000015377,Safe/Connex,"Elysium Fields, BLACK, BOP Wildfire, Live Resin",Extracts,2655.93,,TestPassed,2655.93,0,12/15/2020
1A401030000AC48000015443,Safe/Connex,"Elysium Fields, BLACK, Shiva, Live Resin",Extracts,317.4,,TestPassed,371.68,54.28,12/18/2020
1A401030000AC48000015483,Safe/Connex,"Oregon Green Leaf Farms, Primo Stout, CO2 Oil, Bulk",Extracts,513.54,,NotSubmitted,503,-10.54,12/21/2020
1A401030000AC48000015484,Safe/Connex,"Oregon Green Leaf Farms, Primo Stout, CO2 Oil, Bulk",Extracts,676.15,,NotSubmitted,676.5,0.35,12/21/2020
1A401030000AC48000015485,Safe/Connex,"Oregon Green Leaf Farms, Primo Stout, CO2 Oil, Bulk",Extracts,638.15,,NotSubmitted,638.15,0,12/21/2020
1A401030000AC48000015486,Safe/Connex,"Tozmoz, Primo Stout, CO2 Oil, Bulk",Extracts,727,,TestPassed,711,-16,12/21/2020
1A401030000AC48000015487,Safe/Connex,"Tozmoz, Primo Stout, CO2 Oil, Bulk",Extracts,647.98,,TestPassed,630.82,-17.16,12/21/2020
1A401030000AC48000015488,Safe/Connex,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,217.31,,TestFailed,221.86,4.55,12/21/2020
1A401030000AC48000015489,Safe/Connex,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,744.85,,TestFailed,751.14,6.29,12/21/2020
1A401030000AC48000015490,Safe/Connex,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,812,,TestFailed,804,-8,12/21/2020
1A401030000AC48000015495,Safe/Connex,"Tozmoz, CBDiesel, CO2 Oil, Bulk",Extracts,310.92,,TestPassed,313.74,2.82,12/21/2020
1A401030000AC48000015496,Safe/Connex,"Tozmoz, CBDiesel, CO2 Oil, Bulk",Extracts,230.45,,TestPassed,235.26,4.81,12/21/2020
1A401030000AC48000015497,Safe/Connex,"Tozmoz, Fruit Punch, CO2 Oil, Bulk",Extracts,364.66,,NotSubmitted,365.38,0.72,12/21/2020
1A401030000AC48000015498,Safe/Connex,"LA Cheese, Tozmoz, Bulk CO2 Extract",Extracts,527,,TestPassed,561,34,12/21/2020
1A401030000AC48000015499,Safe/Connex,"LA Cheese, Tozmoz, Bulk CO2 Extract",Extracts,662.61,,TestPassed,658,-4.61,12/21/2020
1A401030000AC48000015501,Safe/Connex,"Tozmoz, Purple Punch, Refined CO2 Oil",Extracts,89.95,,NotSubmitted,99.9,9.95,12/21/2020
1A401030000AC48000015502,Safe/Connex,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,329.1,,TestPassed,333,3.9,12/21/2020
1A401030000AC48000015503,Safe/Connex,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,346.76,,TestPassed,346,-0.76,12/21/2020
1A401030000AC48000015504,Safe/Connex,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,357.1,,TestPassed,345,-12.1,12/21/2020
1A401030000AC48000015505,Safe/Connex,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,360.4,,TestPassed,310,-50.4,12/21/2020
1A401030000AC48000015512,Safe/Connex,"Tozmoz, Rogue Valley Poison/ BMG, Refined CO2 Oil",Extracts,1208.31,,NotSubmitted,1213,4.69,12/21/2020
1A401030000AC48000015513,Safe/Connex,"RXO, Chocolate Hashberry, Halfway Decarboxylated Oil",Concentrate,69.45,,TestPassed,70.07,0.62,12/21/2020
1A401030000AC48000015519,Safe/Connex,"Grown Rogue, Purple Hindu Kush, CO2 Oil, Bulk",Extracts,1671.36,,NotSubmitted,1677,5.64,12/21/2020
1A401030000AC48000015521,Safe/Connex,VTA - 120 - Main,Extracts,750,,TestFailed,748.07,-1.93,12/22/2020
1A401030000AC48000015530,Safe/Connex,"Sugar Tree, M1391629-2, Distillate",Extracts,3908,,NotSubmitted,3908,0,12/22/2020
1A401030000AC48000015542,Safe/Connex,Mt. Hood Magic,Extracts,13.61,,NotSubmitted,13.61,0,12/22/2020
1A401030000AC48000015579,Safe/Connex,"Tozmoz, Mango, Live Resin",Extracts,27.54,,NotSubmitted,27.7,0.16,12/23/2020
1A401030000AC48000015580,Safe/Connex,"Tozmoz, Mango, Headsauce",Extracts,60.29,,NotSubmitted,64.79,4.5,12/23/2020
1A401030000AC48000015584,Safe/Connex,"Tozmoz, Keif, Bulk",Concentrate,320,,NotSubmitted,335,15,12/23/2020
1A401030000AC48000015679,Safe/Connex,"Elysium Fields, BLACK, The Church, Live Resin",Extracts,1846.6,,TestPassed,1894.02,47.42,1/4/2021
1A401030000AC48000015702,Safe/Connex,"Applegate, 24k, Refined CO2 Oil, Bulk",Extracts,245.6,,NotSubmitted,249,3.4,1/5/2021
1A401030000AC48000015703,Safe/Connex,"Applegate Farms, Carl Douglas, CO2 Oil, Bulk",Extracts,865.8,,NotSubmitted,893,27.2,1/5/2021
1A401030000AC48000015907,Safe/Connex,"Applegate, Mix, Refined CO2 Oil",Extracts,1695.15,,NotSubmitted,1702.47,7.32,1/15/2021
1A401030000AC48000015909,Safe/Connex,"Applegate, Mix, Refined CO2 Oil",Extracts,1741.35,,NotSubmitted,1747.74,6.39,1/15/2021
