,Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
0,1A401030000AC48000015104,"Tozmoz, Sour Sherbert, Live Resin",Extracts,630,636.94,6.94,11/30/2020
1,1A401030000AC48000015112,"Applegate, Bubba, Refined CO2 Oil, Bulk",Extracts,1394.47,1402,7.53,12/1/2020
2,1A401030000AC48000015443,"Elysium Fields, BLACK, Shiva, Live Resin",Extracts,317.4,371.68,54.28,12/18/2020
3,1A401030000AC48000015488,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,217.31,221.86,4.55,12/21/2020
4,1A401030000AC48000015489,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,744.85,751.14,6.29,12/21/2020
5,1A401030000AC48000015496,"Tozmoz, CBDiesel, CO2 Oil, Bulk",Extracts,230.45,235.26,4.81,12/21/2020
6,1A401030000AC48000015498,"LA Cheese, Tozmoz, Bulk CO2 Extract",Extracts,527,561,34,12/21/2020
7,1A401030000AC48000015501,"Tozmoz, Purple Punch, Refined CO2 Oil",Extracts,89.95,99.9,9.95,12/21/2020
8,1A401030000AC48000015502,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,329.1,333,3.9,12/21/2020
9,1A401030000AC48000015512,"Tozmoz, Rogue Valley Poison/ BMG, Refined CO2 Oil",Extracts,1208.31,1213,4.69,12/21/2020
10,1A401030000AC48000015519,"Grown Rogue, Purple Hindu Kush, CO2 Oil, Bulk",Extracts,1671.36,1677,5.64,12/21/2020
11,1A401030000AC48000015580,"Tozmoz, Mango, Headsauce",Extracts,60.29,64.79,4.5,12/23/2020
12,1A401030000AC48000015584,"Tozmoz, Keif, Bulk",Concentrate,320,335,15,12/23/2020
13,1A401030000AC48000015679,"Elysium Fields, BLACK, The Church, Live Resin",Extracts,1846.6,1894.02,47.42,1/4/2021
14,1A401030000AC48000015702,"Applegate, 24k, Refined CO2 Oil, Bulk",Extracts,245.6,249,3.4,1/5/2021
15,1A401030000AC48000015703,"Applegate Farms, Carl Douglas, CO2 Oil, Bulk",Extracts,865.8,893,27.2,1/5/2021
16,1A401030000AC48000015907,"Applegate, Mix, Refined CO2 Oil",Extracts,1695.15,1702.47,7.32,1/15/2021
