Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
1A4010300003E83000018089,Concentrate - Distillate for Edibles,Concentrate,2401,531.64,-1869.36,1/21/2021
1A4010300003E83000018089,Concentrate - Distillate for Edibles,Concentrate,2401,531.64,-1869.36,1/21/2021
1A4010300003E83000021985,CBN Isolate - 006,Hemp Extract,544.05,500,-44.05,7/16/2021
1A4010300003E83000021985,CBN Isolate - 006,Hemp Extract,544.05,500,-44.05,7/16/2021
1A4010300003E83000021986,CBD Isolate - 008,Hemp Extract,120,20,-100,7/16/2021
1A4010300004847000224192,Private Stash - PINEAPPLE - Cartridge - (1g) - H - 2041203515,Inhalable Cannabinoid Product with Non-Cannabis Additives (each),170,170,0,8/3/2021
1A401030000AC48000011632,Dream Queen / Bobsled Extracts,Extracts,295,295.05,0.05,2/12/2020
1A401030000AC48000012080,"Tozmoz, Pineapple Chunk, CO2 Oil, Bulk",Extracts,213.67,213.67,0,3/27/2020
1A401030000AC48000013070,VTA - 99 - Main,Concentrate,1877.88,1877.88,0,7/1/2020
1A401030000AC48000013174,VTA - 100 - Main,Concentrate,888.65,888.65,0,7/13/2020
1A401030000AC48000013557,VTA - 104 - Main,Concentrate,841.24,841.24,0,8/13/2020
1A401030000AC48000013740,"VTA 106, Distillate, Bulk",Extracts,1678.18,1678.18,0,8/24/2020
1A401030000AC48000014109,VTA - 108 - Main,Concentrate,189.01,189.01,0,9/25/2020
1A401030000AC48000014676,VTA - 112 - Main,Concentrate,449.52,449.52,0,11/4/2020
1A401030000AC48000015104,"Tozmoz, Sour Sherbert, Live Resin",Extracts,630,636.94,6.94,11/30/2020
1A401030000AC48000015112,"Applegate, Bubba, Refined CO2 Oil, Bulk",Extracts,1394.47,1402,7.53,12/1/2020
1A401030000AC48000015113,"Applegate, Mix, Refined CO2 Oil",Extracts,732.14,734.3,2.16,12/1/2020
1A401030000AC48000015114,"Applegate, GSC, Refined CO2 Oil, Bulk",Extracts,991.01,990.42,-0.59,12/1/2020
